1	15	40	.6	7	6	24	9	22
1	15	25	3	5	4	14	4	14
1	10	15	.4	1	2.5	5	3	5
1	15	26	1.8	3.4	1.5	9.5	1.5	7.5
1	10	15	.2	1	5	7.5	5	7.5
1	10	16	.4	1	3	8	4	9
1	9	15	.6	1.4	9.5	15.5	14.5	21.5
1	15	35	.4	2	2.5	10	5	14.5
1	9	10	0	1	2.5	3.5	3	4
1	15	20	.4	1	12.5	17.5	12.5	17.5
1	15	20	.4	2	7.5	15	10	20
1	10	25	1	5	10	20	10	25
1	14	18	.4	1.4	3	5	2.5	4
1	2	20	.2	2.6	1.5	6.5	4	-99
1	15	35	0	2	5	7.5	5	7.5
1	15	18	.2	1.2	0	2.5	0	2.5
1	25	35	1.6	3	10	25	15	25
1	10	11	2	3	2	5	0	.5
1	5	4	.6	.8	1	1.5	.5	1.5
1	10	15	.6	1.2	1.5	2.5	1.5	2.5
1	10	25	2	2.2	10	15	7.5	12.5
1	8	12	1.6	2.6	5	7.5	5	7.5
1	14	18	1	1.6	15	20	17.5	20
1	15	24	2	4	.5	3	7	12
1	15	22	.6	1	15	18	16	20
1	22	36	0	.2	0	.5	0	.5
1	20	30	2	3	10	15	10	15
1	35	50	.8	2	-99	-99	1.5	3
1	10	11	1	1.2	5	10	7.5	8
1	15	16	1	2	5	6	5	6
1	15	20	0	.2	0	.5	0	.5
1	20	21	1	1.2	0	.5	0	.5
1	15	20	.4	1.2	2	5	5	9
1	5	10	.6	1.6	1.5	2	1.5	2
1	20	30	1	3	4	7	3	6
1	0	0	.2	.2	0	0	2	.5
1	7	10	.2	1.2	2.5	3	3.5	4
1	11	25	1	2	5	18	5	15
1	10	20	2	3	1	6	2	4.5
1	1	2	.2	.4	0	0	.5	.5
1	8	15	.6	1.8	10	20	9	20.5
1	18	25	.6	1.4	5	12.5	5	10
1	10	15	.2	1	4	6	4	6
1	15	16	.6	1	2	3	3	4
1	10	15	.2	.6	.5	1	0	0
1	10	13	1	1.4	5	7.5	3	5
1	10	11	.8	1.4	5	10	6.5	11.5
1	12	13	1	1.2	1.5	2	2.5	3
1	10	11	.2	.4	.5	1	.5	1
1	20	30	.6	1.4	5	10	6	12
1	20	30	.8	3.6	5.5	14.5	5.5	14.5
1	15	18	.2	.4	2	3.5	1	2.5
1	20	28	1	2	7.5	18.5	5	10
1	12	20	.4	1	5	10	5	10
1	25	40	2.6	4.6	7.5	20	12.5	25
1	15	25	1	2	5.5	10	9.5	15
1	8	15	.6	1.6	2	5	1.5	5
1	20	25	2.6	5	5	8	10	17.5
1	10	20	.2	1	3	12.5	1.5	16.5
1	20	30	1	2	5	15	5	10
1	15	25	.6	1	2.5	5	5	7.5
1	15	25	4	8	5	12.5	10	15
1	10	15	1	3	1.5	6	1.5	6
1	20	25	1.2	2	10	14	9	12.5
1	7	28	.8	4.6	.5	1.5	1	3
1	10	11	.2	.4	3	4	3	4
1	15	25	1	2	5	10	5	10
1	10	50	.2	.6	5	25	5	25
1	10	30	.2	2.2	0	0	0	0
1	10	31	.8	2.4	2.5	8	1.5	4
1	15	25	.4	1.4	5	11.5	5	11
1	20	40	1	2	10	20	15	25
1	16	21	.6	1.2	0	3	0	4
1	10	20	.6	1.2	5	10	6	10
1	5	10	.2	.6	0	.5	0	.5
1	1	4	0	.4	1	2.5	0	2
1	10	11	.2	.4	.5	1	.5	1.5
1	10	20	.6	1.6	5	12.5	5	12.5
1	5	12	.8	2	3.5	7.5	6	10
1	9	15	.4	1	9	12.5	9	15
1	20	30	1	2	10	20	10	15
1	6	10	.2	1	0	.5	0	0
1	10	17	0	.2	0	1	0	1
1	15	20	1	2	3	7.5	2.5	7.5
1	9	20	2	5	10	14	10	14
1	8	15	1.8	3	7.5	15	7.5	15
1	15	50	1	10	2.5	25	2.5	25
1	15	20	1	2	7.5	10	2	7
1	15	20	1	1.6	15	25	15	20
1	20	30	1	2.2	2.5	2.5	5.5	7.5
1	10	19	.4	2	5	10	5	10
1	14	20	1	2	5	9	2	9
1	10	20	.2	1	2	7.5	2	7.5
1	15	22	.2	1	2	3	1.5	3
1	5	10	.2	1	.5	3.5	.5	5.5
1	15	30	1	3	7.5	15	8	15
2	5	3	.2	.4	.5	1	.5	1
2	15	10	2.4	1	4	2.5	4	2
2	13	10	.8	.2	2.5	.5	5	2
