4	.5	.5
5	4	4
8	2.5	5.5
2	10	18
1	7	20
7	4	7
1	5	15
5	6	4
8	4	15
4	6.5	6
5	8	3
3	5	4
7	8	20
2	5.5	8
2	5	50.5
6	12.5	7
2	4	7
8	4.5	8
6	10	7
8	2.5	8.5
5	3.5	5
7	6	10
2	8	38
7	10	20
6	3.5	5
3	9	12
2	2.5	25.5
4	9	5
6	5	3
6	7	3
5	5	2.5
1	3	7.5
6	4	1.5
1	12	22
7	3.5	40.5
1	5	15
8	10	30
1	11	30
7	10	20
3	10	7
6	3.5	3
7	8	15
5	7	7
1	5.5	15
3	5	10
2	7.5	11
6	10	5
2	4.5	10
5	5	3
4	3.5	2.5
2	5	15
8	7	10
4	6	5
5	5	5
2	6.5	8.5
3	5	12
4	10	6
8	5	10
2	5	10
3	4	1.5
1	6	10
8	7	12
1	8	15
5	6	5
2	3.5	13
4	4	3
1	4.5	8
6	10.5	6.5
2	7	8
4	7	5
7	8	15
6	7	5
7	7	16
6	5.5	5
8	6	15
4	5	3
1	7	12
8	5	7
6	11	7
1	7.5	30
3	10	5
6	10	3
5	7	3
7	4.5	8
8	4	10
8	6	10
3	3.5	2.5
1	10	30
1	6	20
3	6	10
1	7.5	15
5	4.5	3
3	5	6
5	7	3
2	4	6
4	9	7
6	4.5	1.5
7	10	15
7	5	20
5	4	2
4	6	10
2	10	25
1	4	10
2	6	9
1	10	15
5	5.5	2
1	7	20
7	12	15
8	7.5	7.5
5	5.5	5
2	4	5
4	8	15
2	5	8
4	3	3
8	5	8
4	3	5
8	7.5	12.5
4	7	3
2	6.5	15
5	7	3
5	5	2.5
2	5.5	11.5
1	4	30
6	7	5
8	4	6
3	6	3.5
3	3.5	4.5
2	6	12
5	2	1.5
3	0	5
7	5.5	17.5
8	5.5	15
3	5.5	5.5
2	8	15
4	5.5	4
8	6	10
3	3.5	5
4	4	3
8	5	10
2	10	20
7	7.5	12.5
8	7	8
1	5	7
5	4	3.5
7	6	12.5
8	5	8.75
2	4	30
5	8	7
1	6	15
7	4	7
5	5	.5
2	9.5	24.5
8	4	9
6	7	4
3	5	10
7	6	10
4	4.5	3
2	4.5	8
7	5	15
8	5	10
3	5.5	4
4	10	12
7	8	25
3	10	10
3	7	7
4	4	3
2	7	50.5
6	5	3
3	7	7
2	6	9
5	4	3.5
7	6	25
4	4.5	4.5
1	5	15
2	8	14
4	4	3
1	5	15
6	5.5	4
6	5	1
3	10	16
1	10	30
2	6.5	14
5	8	5
1	2.5	6.5
3	6	7
7	5	8
7	3	20
2	5	15
2	10	15
1	7	15
6	10	8
2	5	20
3	3	1.5
4	10	8
4	7	8
8	8	24
1	6	12.5
8	6.5	9
7	4.5	11
3	6	15
1	6.5	15
2	7	15
5	7	3.5
7	4	7
8	3.5	7
4	2.5	5
7	10	20
3	3.5	5
4	8	6
8	5	10
6	5	0
1	7.5	15
5	5	5
8	4	20
7	6	15
5	4.5	3
6	9	5
4	6	4
8	8	16.5
7	8	29.5
6	4.5	3.5
4	10	5.5
3	7.5	9
7	3.5	9
6	5	2
8	12.5	16
8	8	18
4	6.5	7.5
5	5	5
5	5	1
1	8.5	30
4	5	2
2	2	3.5
1	7.5	10
5	4.5	2.5
7	7	25
1	5	10
3	9	7
5	12	9
6	8	5
6	10	5
4	7.5	5
5	4	5
2	10	25
8	4	12
7	6	6
6	4	3
5	8	5
3	3	2.5
1	4	6
8	6	14
3	5	7.5
8	4	5.5
6	12	4.5
3	8	10
6	5	1
8	4.5	8.5
7	8.5	22
6	5	4.5
1	3.5	12
6	5	2.5
1	3.5	8
4	5	5
1	4.5	14
3	12.5	10
1	4.5	15
7	4	8
4	8	8
3	6	8
2	5	20.5
8	7.5	12.5
5	15	10
1	5	8
4	6.5	7.5
3	6	6
7	4.5	26
1	7	20
5	5.5	3.5
3	12	10
8	12.5	20
3	5	5
7	8	15
4	6	4
5	6	3
5	7	12
3	4	4.5
6	7	3.5
4	6	5.5
6	7	2
7	6.5	9.5
8	6	20
4	6.5	5
2	7.5	20
1	6	11
6	6	5
7	8	12.5
4	5	3
3	7	10
8	12	14
8	5	8
6	5	5
3	5	3
4	7.5	3
6	6	4
3	5	4
7	8	15
4	11	5
5	7	5
7	7	20
3	5	6
3	5	5
1	10	25
6	7	3
2	6	20
7	5	7
2	12	25
7	5	8
5	10	5
5	7	3
3	7.5	12
5	5.5	3
6	8	6
6	5	4
3	7	10
5	5	3
6	5	3
1	7	13
8	6.5	12
2	5.5	15
8	7	15
7	6	15
2	11.5	31.5
2	10	50
4	10	7
4	3.5	3
4	5	5
5	5	5
6	10	5
2	5	15
5	10	4
5	5	3
7	5	8
8	15	50
8	5.5	9.5
3	6	5
7	8	12.5
6	4.5	2.5
4	7	3
1	7	15
3	6	11
4	3.5	2
6	5	3
1	5	8
8	3.5	7
2	10	50.5
3	5.5	6
4	1	9
7	5	7
6	7	3
3	5	3
8	7	9
4	6	3.5
7	6	12
6	6	4.5
1	5	20
7	6	12
6	5.5	2.5
5	6	3
2	4	.5
7	7.5	20
6	4	3
8	5	15
1	9.5	15
1	12.5	24.5
5	7	10
6	13	10
5	3.5	1
4	7	5
2	5	14
3	6	2.5
4	5	5
6	7	5
1	5	15
4	6	5
8	4	10
5	10	10
3	5	8
2	5	10
7	10	20
2	5	15
4	7	3
6	10	5
7	7	10
7	4	10
4	5	10
3	4.5	4.5
4	5.5	3.5
4	5	10
6	7	4
3	5	5
3	4	8
5	4	2.5
1	7	35
4	5.5	3
3	6	12
1	8	14
6	9	10
5	4.5	3
4	7	3.5
6	4	9.5
5	5	5
4	6	3
3	6	5
1	5.5	10
2	5	10
7	5	5
8	7	10
1	4.5	9
1	9	12.5
6	12.5	5
5	8	5
2	8	20
8	6	10
7	4	10
5	10	5
1	5	10
8	3.5	5
4	7	3
2	6.5	20
4	5	5
4	6	6
7	7.5	15
4	6	2
6	4	1.5
6	5.5	3
3	7.5	20
1	4	14
4	5	7
8	4	7
5	6.5	3.5
2	3.5	9
2	8	15
1	7	20
5	4	2.5
5	4	3
6	5	2.5
7	6	12
6	5	9
8	4.5	10
7	8	15
5	4	2.5
4	2.5	10
1	8	18
2	4.5	15
6	5.5	4
6	7	6
6	6.5	5
7	5	9
3	6	5.5
1	7	9.5
5	3	2
2	5	3
3	6	4
1	5	14
2	6	10
8	9	10
1	6.5	14
7	7.5	16
5	3.5	2.5
6	8	5
3	5	3
2	4	15
3	8	12.5
6	6	4
3	6	5.5
7	5	25
2	7	20
5	8	5
1	7	15
4	20	9
1	9	20
6	7.5	9.5
5	6	4
3	3.5	5
6	7	5
1	6.5	14
6	5	4.5
3	3.5	7.5
1	5	16
3	2	3
6	10	10
5	6	5
3	6.5	6.5
